c_ls,c_lq,lam_gamma,ls_prior,ls_post,ls_gain,lq_prior,lq_post,lq_gain,mse_ls,mse_lq,bias_ls,bias_lq,nll,n_ls,n_lq
0.62,0.62,10.0,0.8971762538623163,0.8351950719183172,-0.061981181943999,0.7701572683068789,0.7847503301349636,0.0145930618280847,0.1335153321622935,0.1774373533566073,-0.0038512259285623,0.0034372546215791,6322.210974757694,418,229
0.62,0.64,10.0,0.8971762538623163,0.8349321769185801,-0.0622440769437361,0.7698135260276527,0.7926159923785061,0.0228024663508533,0.1336299832061038,0.1774772563813208,-0.0038702203478813,0.0201685901741574,6322.557901790704,418,229
0.62,0.66,10.0,0.8971762538623163,0.8347777075402035,-0.0623985463221127,0.7698135260276527,0.7926159923785061,0.0228024663508533,0.1337394997869069,0.1781344408800106,-0.0038887973963555,0.0365404751019773,6322.897613194766,418,229
0.62,0.68,10.0,0.8971762538623163,0.83436034316209,-0.0628159107002263,0.7715251402299855,0.7924047341027317,0.0208795938727461,0.1338437833491462,0.1793661157544742,-0.0039070940491632,0.0525355881492154,6323.230693857013,418,229
0.64,0.58,10.0,0.8968700892698721,0.835695379126237,-0.061174710143635,0.7611674105657394,0.7896022628001956,0.0284348522344561,0.1344156951907875,0.1792876461816159,0.0149417525818486,-0.0310455975737241,6320.61405118846,418,229
0.64,0.6,10.0,0.8968700892698721,0.8361612682694114,-0.0607088210004607,0.7689076859996281,0.7920593293794469,0.0231516433798187,0.1345304656562026,0.1779714039954548,0.0149162292549501,-0.0136689908120603,6320.975553977089,418,229
0.64,0.62,10.0,0.8968700892698721,0.8356124362964309,-0.0612576529734412,0.7701572683068789,0.7856490729691904,0.0154918046623114,0.1346408717878334,0.1773575844887841,0.0148912226915492,0.0034019016311191,6321.335568736198,418,229
0.64,0.64,10.0,0.8968700892698721,0.8357669056748075,-0.0611031835950646,0.7698135260276527,0.7926159923785061,0.0228024663508533,0.1347464668747999,0.1774047480855226,0.0148667207761082,0.0201366448239003,6321.692755814979,418,229
0.64,0.66,10.0,0.8968700892698721,0.8355040106750704,-0.0613660785948017,0.7698135260276527,0.7922722500992799,0.0224587240716271,0.1348469311020257,0.1780697477516759,0.0148426159645884,0.036511621315605,6322.047051168365,418,229
0.64,0.68,10.0,0.8968700892698721,0.8351202762193138,-0.0617498130505582,0.7715251402299855,0.7929597346577323,0.0214345944277467,0.1349419918253669,0.1793095324576196,0.0148187313353975,0.0525094670993099,6322.399452828198,418,229
0.66,0.58,10.0,0.8962543658152375,0.8355907587986015,-0.060663607016636,0.7611674105657394,0.7896022628001956,0.0284348522344561,0.1367478234187207,0.1791963176861818,0.0347477334077908,-0.0311010060343216,6320.159850051279,418,229
0.66,0.6,10.0,0.8962543658152375,0.8355907587986015,-0.060663607016636,0.7689076859996281,0.7926143299344474,0.0237066439348192,0.1368559104973875,0.1778847216925782,0.034717582015906,-0.0137201333084311,6320.533747343579,418,229
0.66,0.62,10.0,0.8962543658152375,0.8351720985115202,-0.0610822673037173,0.7701572683068789,0.7920593293794469,0.0219020610725679,0.1369594034247387,0.1772768893659476,0.0346879550940546,0.0033548166977337,6320.909230753147,418,229
0.66,0.64,10.0,0.8962543658152375,0.8345241731470588,-0.0617301926681786,0.7698135260276527,0.7926159923785061,0.0228024663508533,0.1370576583833925,0.1773310748750154,0.034658794430964,0.0200933181813716,6321.285849798898,418,229
0.66,0.66,10.0,0.8962543658152375,0.8343697037686822,-0.0618846620465552,0.7698135260276527,0.7922722500992799,0.0224587240716271,0.13715021808591,0.1780037963388249,0.0346299691547269,0.0364716890255472,6321.664039063261,418,229
0.66,0.68,10.0,0.8962543658152375,0.8338208717957017,-0.0624334940195357,0.7715251402299855,0.7929597346577323,0.0214345944277467,0.1372367019054128,0.1792516615584013,0.0346012889749504,0.0524725290493238,6322.045139608999,418,229
0.68,0.58,10.0,0.8957207970480207,0.8357301503755227,-0.0599906466724979,0.7611674105657394,0.7896022628001956,0.0284348522344561,0.1403876002503151,0.1791088581545037,0.0555957828131596,-0.0311666671587655,6320.1505921033495,418,229
0.68,0.6,10.0,0.8957207970480207,0.8358846197538993,-0.0598361772941213,0.7689076859996281,0.793513072768674,0.0246053867690458,0.1404913007679585,0.1778011079479212,0.0555614437871336,-0.0137811243182942,6320.546225707723,418,229
