실험,브랜치,결과,prior_mode,lam_gamma,b_bound,b_min,b_max,run_tag,mse_ls,mse_lq,auc_ls,auc_lq,auc_prior_ls,auc_prior_lq,auc_zprior_ls,auc_zprior_lq,auc_zprior_ls_wavg,auc_zprior_lq_wavg,gain_ls,gain_lq,gain_ls_wavg,gain_lq_wavg,auc_ls_wavg,auc_lq_wavg,auc_prior_ls_wavg,auc_prior_lq_wavg,auc_ls_niigata2004,auc_prior_ls_niigata2004,n_ls,n_lq,n,a_LS,b_LS,a_LQ,b_LQ,gamma_ls_max,gamma_lq_max,sum_gamma2,frac_middle,c_LS,c_LQ
D free,followup3-area-avg-free,followup3-area-avg-free,area-free,0.1,,,,,0.1959188856144354,0.2618869157942946,0.786459759622699,0.727599388379205,0.857173284649323,0.7485474006116207,0.8573558496881181,0.8048165137614679,0.8775986722560457,0.7683455882508295,-0.070896090065419,-0.0772171253822628,-0.0953197687086239,-0.0655810258076691,0.7822789035474218,0.7027645624431604,0.8777701664852648,0.715445570663787,0.9375,0.96875,418,229,418,1.2279470015837748,6.894626725447463,0.501414039435882,1.2125986651828988,5.014830965140207,2.5462202766545667,86.44395798751776,0.1830143540669856,0.0026497263096186,0.2961121911278501
D free,followup3-area-avg-free,followup3-area-avg-free,area-free,1.0,,,,,0.1982128043227817,0.2285893294726295,0.7806785333941884,0.7754587155963303,0.857173284649323,0.7485474006116207,0.8573558496881181,0.8180428134556575,0.8775986722560457,0.766246176511124,-0.0766773162939297,-0.0425840978593272,-0.093604244127798,-0.0411388787477513,0.7839944281282477,0.7251072977633727,0.8777701664852648,0.715445570663787,0.9326923076923076,0.96875,418,229,418,1.1785111735490037,6.708199021541613,0.5015308638769153,1.3973147715311072,3.807442137152418,1.925048007509596,51.67322527541185,0.25,0.002538667574779,0.5053742517008675
D free,followup3-area-avg-free,followup3-area-avg-free,area-free,10.0,,,,,0.15551640717849,0.2411452087850049,0.8352654799939147,0.8267584097859327,0.857173284649323,0.7485474006116207,0.8575079872204473,0.8191131498470948,0.8775986722560457,0.7784457535241298,-0.0222425072265326,0.0076452599388379,-0.028620958632057,0.0029499615536836,0.8489777136239887,0.7813957150778135,0.8777701664852648,0.715445570663787,0.96875,0.96875,418,229,418,1.8616153745419104,11.492543883093449,0.5038246365008456,0.9129131690871476,0.8885072380594888,0.911062891652634,5.445911483139913,0.4389952153110047,0.0062676832952768,0.7820254320263271
D free,followup3-area-avg-free,followup3-area-avg-free,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
D free,followup3-area-avg-free,followup3-area-avg-free,[베이스라인] 전부 기저확률,,,,,,0.1880966552963531,0.2494231612669476,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
E c 작게,followup3-area-avg-a1-c05,followup3-area-avg-a1-c05,area-a1-c05,0.0,,,,,0.1551181351297247,0.2081440210713392,0.7807393884071201,0.8573394495412845,0.857173284649323,0.7485474006116207,0.8670926517571885,0.7978593272171254,0.8967391309592042,0.7570032442862361,-0.0863532633500684,0.0594801223241591,-0.0986906364952462,0.0277922593891335,0.798048494463958,0.7847955036753697,0.8777701664852648,0.715445570663787,0.9134615384615384,0.96875,418,229,418,1.0,0.0,1.0,0.0,3.287162035389197,4.849430993873585,83.48180358048626,0.1255980861244019,0.5,0.5
E c 작게,followup3-area-avg-a1-c05,followup3-area-avg-a1-c05,area-a1-c05,0.1,,,,,0.1546995726490754,0.2085055259384154,0.784268979157158,0.856422018348624,0.857173284649323,0.7485474006116207,0.8670926517571885,0.7978593272171254,0.8967391309592042,0.7570032442862361,-0.0828236726000305,0.0585626911314985,-0.0954506815734501,0.0268102277805035,0.801288449385754,0.7838134720667397,0.8777701664852648,0.715445570663787,0.9134615384615384,0.96875,418,229,418,1.0,0.0,1.0,0.0,3.1798847038128844,4.651897326785646,78.36602906182944,0.1267942583732057,0.5,0.5
E c 작게,followup3-area-avg-a1-c05,followup3-area-avg-a1-c05,area-a1-c05,1.0,,,,,0.1475413927214011,0.2130488579150639,0.8009432527004412,0.8484709480122324,0.857173284649323,0.7485474006116207,0.8670926517571885,0.7978593272171254,0.8967391309592042,0.7570032442862361,-0.0661493990567473,0.050611620795107,-0.0816266167880562,0.0283167736047623,0.8151125141711479,0.7853200178909985,0.8777701664852648,0.715445570663787,0.939903846153846,0.96875,418,229,418,1.0,0.0,1.0,0.0,2.362650329290537,3.810620843908075,52.22429598109516,0.1351674641148325,0.5,0.5
E c 작게,followup3-area-avg-a1-c05,followup3-area-avg-a1-c05,area-a1-c05,10.0,,,,,0.1428588941069642,0.1932071299132106,0.8277498858968508,0.8129969418960244,0.857173284649323,0.7485474006116207,0.8670926517571885,0.7978593272171254,0.8967391309592042,0.7570032442862361,-0.0393427658603376,0.015137614678899,-0.0532223135830954,0.0343544061471624,0.8435168173761087,0.7913576504333986,0.8777701664852648,0.715445570663787,0.9543269230769232,0.96875,418,229,418,1.0,0.0,1.0,0.0,0.8506263058632242,0.4796136139441262,3.434976818319204,0.4102870813397129,0.5,0.5
E c 작게,followup3-area-avg-a1-c05,followup3-area-avg-a1-c05,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
E c 작게,followup3-area-avg-a1-c05,followup3-area-avg-a1-c05,[베이스라인] 전부 기저확률,,,,,,0.1880966552963531,0.2494231612669476,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
F c 크게,followup3-area-avg-a1-c2,followup3-area-avg-a1-c2,area-a1-c2,0.0,,,,,0.7067483972063223,0.4896129012970135,0.7806176783812566,0.8087155963302752,0.857173284649323,0.7485474006116207,0.7804046858359956,0.8079510703363915,0.8373188523407639,0.7686894582468381,0.0002129925452609,0.0007645259938837,3.576396052207276e-05,-0.0005620977487985,0.8373546163012859,0.7681273604980395,0.8777701664852648,0.715445570663787,0.8245192307692307,0.96875,418,229,418,1.0,0.0,1.0,0.0,0.0843397014941862,0.018311573917938,0.012563911922696,0.0406698564593301,2.0,2.0
F c 크게,followup3-area-avg-a1-c2,followup3-area-avg-a1-c2,area-a1-c2,0.1,,,,,0.7067493363068712,0.4896129454326666,0.7806481058877225,0.8087155963302752,0.857173284649323,0.7485474006116207,0.7804046858359956,0.8079510703363915,0.8373188523407639,0.7686894582468381,0.0002434200517268,0.0007645259938837,3.576396052207276e-05,-0.0005620977487985,0.8373546163012859,0.7681273604980395,0.8777701664852648,0.715445570663787,0.8245192307692307,0.96875,418,229,418,1.0,0.0,1.0,0.0,0.0836216047429303,0.0182925816749429,0.012393790153605,0.0406698564593301,2.0,2.0
F c 크게,followup3-area-avg-a1-c2,followup3-area-avg-a1-c2,area-a1-c2,1.0,,,,,0.7067571125746709,0.4896133365160381,0.7805568233683249,0.8087155963302752,0.857173284649323,0.7485474006116207,0.7804046858359956,0.8079510703363915,0.8373188523407639,0.7686894582468381,0.0001521375323292,0.0007645259938837,0.0003808136476768,-0.0005620977487985,0.8376996659884407,0.7681273604980395,0.8777701664852648,0.715445570663787,0.8269230769230769,0.96875,418,229,418,1.0,0.0,1.0,0.0,0.0777733749311541,0.0181230598590845,0.0110516551349702,0.0406698564593301,2.0,2.0
F c 크게,followup3-area-avg-a1-c2,followup3-area-avg-a1-c2,area-a1-c2,10.0,,,,,0.7068001475374959,0.4896167745585785,0.7807393884071201,0.8087155963302752,0.857173284649323,0.7485474006116207,0.7804046858359956,0.8079510703363915,0.8373188523407639,0.7686894582468381,0.0003347025711244,0.0007645259938837,0.0005332217973369,-0.0005620977487985,0.8378520741381008,0.7681273604980395,0.8777701664852648,0.715445570663787,0.8245192307692307,0.96875,418,229,418,1.0,0.0,1.0,0.0,0.048491056297556,0.016605978491103,0.0055036250773693,0.0418660287081339,2.0,2.0
F c 크게,followup3-area-avg-a1-c2,followup3-area-avg-a1-c2,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
F c 크게,followup3-area-avg-a1-c2,followup3-area-avg-a1-c2,[베이스라인] 전부 기저확률,,,,,,0.1880966552963531,0.2494231612669476,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
