c_ls,c_lq,lam_gamma,ls_prior,ls_post,ls_gain,lq_prior,lq_post,lq_gain,mse_ls,mse_lq,bias_ls,bias_lq,nll,n_ls,n_lq
0.7,0.4,10.0,0.8947351012654128,0.8365245402320959,-0.0582105610333169,0.7403123700399974,0.7755083052061731,0.0351959351661756,0.144687337688635,0.2257864244299802,0.0777268998382594,-0.1931136135770053,6317.731968335318,418,229
0.7,0.5,10.0,0.8947351012654128,0.8369441623959314,-0.0577909388694813,0.7570032442862361,0.7891726490548487,0.0321694047686126,0.1450005497836845,0.1919851331738855,0.0776034096399905,-0.1030010364461682,6318.989103848606,418,229
0.7,0.6,10.0,0.8947351012654128,0.8353905616421126,-0.0593445396233002,0.7689076859996281,0.7940751705174726,0.0251674845178444,0.1455384696932888,0.1777231040734928,0.0774077130226879,-0.0138505476024292,6321.023992007323,418,229
0.7,0.7,10.0,0.8947351012654128,0.8348162468775777,-0.059918854387835,0.7708376556715333,0.7938655746857569,0.0230279190142236,0.145936227986433,0.180938584910047,0.0772270393483422,0.0679899403381809,6323.250409068643,418,229
0.7,0.8,10.0,0.8947351012654128,0.8332683767735338,-0.0614667244918789,0.7714785276926545,0.7880174160242991,0.0165388883316446,0.1462164462462256,0.1965887881965415,0.0770726051384474,0.1401093257904417,6325.069574635803,418,229
0.7,0.9,10.0,0.8947351012654128,0.8330317527077395,-0.0617033485576732,0.7752639508514791,0.7822229925065028,0.0069590416550237,0.1464456190643113,0.2206422501421514,0.0769432179061259,0.2026971330255434,6326.1225411398655,418,229
0.7,1.0,10.0,0.8947351012654128,0.8319834016692275,-0.0627516995961853,0.7698132442003763,0.7788901500700388,0.0090769058696624,0.1466002942653789,0.2501620798635369,0.0768435835749797,0.2568980816183861,6326.860564139342,418,229
0.8,0.3,10.0,0.8893362538855639,0.8404015034676364,-0.0489347504179275,0.7478468219478508,0.7647164472944995,0.0168696253466487,0.192501476898334,0.2749076083009444,0.1985013865975752,-0.2757134188618704,6326.043688064513,418,229
0.8,0.4,10.0,0.8893362538855639,0.8397212440897858,-0.0496150097957781,0.7403123700399974,0.7757616615171978,0.0354492914772004,0.1922533813469611,0.2267177594518382,0.1988864201070084,-0.1937326186762734,6325.108558000411,418,229
0.8,0.5,10.0,0.8893362538855639,0.8379106376813109,-0.051425616204253,0.7570032442862361,0.7824169879213073,0.0254137436350712,0.1926820003464022,0.1919452182909048,0.1986498794744247,-0.1036957373201812,6326.980413057786,418,229
0.8,0.6,10.0,0.8893362538855639,0.8364904762348571,-0.0528457776507068,0.7689076859996281,0.7907264582977926,0.0218187722981645,0.1931802849575269,0.1774106903622277,0.1982968315127127,-0.0143270740680788,6329.976992001482,418,229
0.8,0.7,10.0,0.8893362538855639,0.8366436497042661,-0.0526926041812978,0.7708376556715333,0.7944276724345555,0.0235900167630221,0.1934716043614507,0.1807102935368149,0.1980517933746952,0.0676377846812729,6332.606641779155,418,229
0.8,0.8,10.0,0.8893362538855639,0.8349413102218459,-0.054394943663718,0.7714785276926545,0.7869861891866207,0.0155076614939662,0.1935838847921479,0.196454523331429,0.1978798658047659,0.1398134081235124,6334.745687276522,418,229
0.8,0.9,10.0,0.8893362538855639,0.8346192623182006,-0.0547169915673633,0.7752639508514791,0.7825667347857289,0.0073027839342497,0.1935986728711439,0.2205459103371091,0.1977319261706964,0.2024513767804743,6336.113809558323,418,229
0.8,1.0,10.0,0.8893362538855639,0.8353816763834694,-0.0539545775020945,0.7698132442003763,0.7792338923492649,0.0094206481488885,0.1935227019455081,0.2500781493885514,0.1976173684516328,0.2567190568307252,6337.17027995096,418,229
0.9,0.3,10.0,0.8857331582867003,0.852595001152839,-0.0331381571338612,0.7478468219478508,0.7549924924575765,0.0071456705097256,0.2732272889569261,0.2771579070547711,0.3251265959413161,-0.2756267134518941,6340.698751814252,418,229
0.9,0.4,10.0,0.8857331582867003,0.8528578961525761,-0.0328752621341241,0.7403123700399974,0.7722804652940661,0.0319680952540687,0.2732493890215388,0.2283935423761572,0.3255072976616401,-0.1946312415091434,6339.301382699234,418,229
0.9,0.5,10.0,0.8857331582867003,0.8517867862440076,-0.0339463720426926,0.7570032442862361,0.7828466016666541,0.0258433573804179,0.2734242245602238,0.1923741933264864,0.3252251877982094,-0.104698201393044,6342.491668387487,418,229
